iter	RMSE
0	2.454873776
1	2.375009642
2	2.276655335
3	2.198817604
4	2.122396579
5	2.037876667
6	1.973196289
7	1.907475918
8	1.852973317
9	1.80768975
10	1.771885549
11	1.748747851
12	1.696998306
13	1.659812171
14	1.604492468
15	1.569365156
16	1.526734983
17	1.507346386
18	1.474765728
19	1.452098335
20	1.422508915
21	1.404182002
22	1.38870167
23	1.366306215
24	1.342274385
25	1.31056575
26	1.285688888
27	1.272870103
28	1.242870989
29	1.224083076
30	1.200892542
31	1.193419165
32	1.178561657
33	1.158197001
34	1.150318744
35	1.144072722
36	1.136291077
37	1.130326818
38	1.122320999
39	1.106170899
40	1.081547287
41	1.067969055
42	1.057320633
43	1.04198976
44	1.035158271
45	1.031275324
46	1.026727081
47	1.02292807
48	1.018991245
49	0.9967818369
50	0.982700721
51	0.9672786711
52	0.9641321712
53	0.9447836785
54	0.9417822586
55	0.9380722819
56	0.9352343405
57	0.922993515
58	0.9207055632
59	0.9061180571
60	0.8991943749
61	0.896767387
62	0.8904454942
63	0.8766251574
64	0.8670610525
65	0.8517646532
66	0.8410512833
67	0.827443745
68	0.8140342227
69	0.801644764
70	0.7918970063
71	0.7838316035
72	0.7821497204
73	0.7769039724
74	0.767983479
75	0.7584557796
76	0.7474936451
77	0.7379408756
78	0.7263980193
79	0.7166215411
80	0.7100068847
81	0.7086297597
82	0.7072389886
83	0.7000722857
84	0.6917529608
85	0.6863677709
86	0.6839364916
87	0.6824305877
88	0.6745293424
89	0.6672547421
90	0.660715833
91	0.655175626
92	0.6478631859
93	0.6416366035
94	0.6406840193
95	0.6359147958
96	0.6299098471
97	0.6244062228
98	0.6201099539
99	0.6148751108
