iter	Passed	Remaining
0	0	95
1	2	107
2	3	119
3	4	110
4	5	100
5	6	95
6	6	90
7	7	86
8	8	83
9	8	80
10	10	85
11	11	84
12	12	82
13	13	81
14	14	79
15	14	78
16	15	77
17	17	80
18	18	78
19	19	77
20	19	75
21	20	73
22	21	71
23	22	69
24	22	68
25	23	67
26	25	69
27	26	68
28	27	66
29	28	65
30	28	64
31	29	63
32	31	63
33	32	62
34	33	61
35	33	60
36	34	58
37	35	57
38	35	56
39	36	55
40	37	54
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	49	44
53	51	43
54	52	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	56	36
61	57	35
62	58	34
63	58	33
64	59	32
65	60	31
66	61	30
67	61	29
68	62	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	23
74	68	22
75	69	22
76	70	21
77	71	20
78	71	19
79	72	18
80	73	17
81	73	16
82	74	15
83	76	14
84	77	13
85	78	12
86	79	11
87	79	10
88	80	9
89	81	9
90	83	8
91	84	7
92	85	6
93	85	5
94	86	4
95	87	3
96	87	2
97	88	1
98	90	0
99	91	0
